ID,LowerID,Heading,UpperID
00A,H1,,
00AK,N,,S
00AL,1,,19
00AR,H1,,H1
00AS,1,,19
00AZ,15,,33
00CA,4,50,22
00CO,16,,34
00FA,8,,26
00FD,H1,,
00FL,12,,30
00GA,9,,27
00GE,H1,,
00HI,H1,,
00ID,8,,26
00ID,11,,29
00IL,18,,36
00IN,H1,,
00IS,E,,W
00KS,17,,35
00KY,1,,19
00LA,H1,,
00LL,H1,,
00LS,18,,36
00MD,14,,32
00MI,H1,,
00MN,6,,24
00MO,8,,26
00MT,E,,W
00N,18,,36
00NC,5,,23
00NJ,H1,,
00NY,3,,21
00OH,8,,26
00OI,H1,,
00PA,H1,,
00PN,12,,30
00PS,8,,26
00S,6,,24
00SC,8,,26
00TA,H1,,
00TE,H1,,
00TN,9,,27
00TS,1,,19
00TX,H1,,
00VA,1,,19
00VI,9,,27
00W,14,,32
00WA,8,,26
00WI,9,87.2,27
00WN,5,,23
00WV,5,,23
00XS,17,,35
01A,8,,26
01AK,H1,,
01AL,N,,S
01AR,H1,,
01AZ,H1,,
01C,9,,27
01CA,H1,,
01CL,9,,27
01CN,H1,,
01CO,H1,,
01CT,H1,,
01FA,10,,28
01FA,18,,36
01FD,H1,,
01FL,18,,36
01GA,H1,,
01GE,10,,28
01IA,17,,35
01ID,14,,32
01IL,H1,,
01IN,H1,,
01IS,9,,27
01J,18,,36
01K,17,,35
01KS,18,,36
01KY,H1,,
01LA,9,,27
01LL,2,,20
01LS,9,92.2,27
01MA,H1,,
01MD,16,,34
01ME,2,,20
01ME,15,,33
01MI,H1,,
01MN,E,,W
01MN,NW,,SE
01MO,H1,,
01MT,13,148,31
01NC,3,,21
01NC,18,,36
01NE,10,,28
01NH,17,,35
01NJ,H1,,
01NM,2,,20
01NM,9,,27
01NV,18,,36
01NY,H1,,
01OI,H1,,
01OK,17,,35
01OR,7,,25
01PA,H1,,
01PN,6,,24
01PS,3,,21
01SC,18,,36
01TA,H1,,
01TE,4,,22
01TN,18,,36
01TX,9,,27
01TX,18,,36
01U,3,,21
01U,15,,33
01UT,E,,W
01VA,3,,21
01WA,H1,,
01WI,1,9.6,19
01WN,H1,,
01WT,H1,,
01WY,12,,30
01WY,16,,34
01XA,H1,,H1
01XS,H1,,
02AK,15,,33
02AL,18,,36
02AR,7,,25
02AZ,17,,35
02CA,H1,,
02CD,15,,33
02CL,16,,34
02CO,17,,35
02CT,H1,,
02FA,18,,36
02FL,12,,30
02GA,8,,26
02GA,13,,31
02GE,9,,27
02HI,H1,,
