ICAO,Latitude,Longitude
CYXE,52.1707992554,-106.6999969482
CYXH,50.018901825,-110.7210006714
CYXJ,56.2380981445,-120.7399978638
CYXL,50.113899231,-91.9052963257
CYXP,66.1449966431,-65.7136001587
CYXR,47.6974006546,-79.8473453522
CYXS,53.8894004822,-122.679000854
CYXT,54.468498,-128.576009
CYXU,43.035599,-81.1539
CYXX,49.0252990723,-122.361000061
CYXY,60.7095985413,-135.067001343
CYYB,46.3636016846,-79.4227981567
CYYC,51.113899231,-114.019996643
CYYD,54.8246994019,-127.1829986572
CYYE,58.8363990784,-122.597000122
CYYF,49.4631004333,-119.6019973755
CYYG,46.2900009155,-63.1211013794
CYYH,69.5466995239,-93.5766983032
CYYJ,48.646900177,-123.426002502
CYYL,56.863899231,-101.0759963989
CYYN,50.2919006348,-107.691001892
CYYQ,58.739200592,-94.0650024414
CYYR,53.3191986084,-60.4258003235
CYYT,47.618598938,-52.7518997192
CYYU,49.413898468,-82.4674987793
CYYW,50.2902984619,-88.9096984863
CYYY,48.6086006165,-68.2080993652
CYYZ,43.6772003174,-79.6305999756
CYZD,43.7425003052,-79.4655990601
CYZE,45.8852996826,-82.5678024292
CYZF,62.4627990723,-114.4400024414
CYZH,55.2930984497,-114.777000427
CYZP,53.2542991638,-131.813995361
CYZR,42.9994010925,-82.3088989258
CYZT,50.6805992126,-127.3669967651
CYZU,54.143901825,-115.7870025635
CYZV,50.2233009338,-66.2656021118
CYZW,60.1727981567,-132.7429962158
CYZX,44.9844017029,-64.9169006348
CZFA,62.2075004578,-133.3760070801
CZFM,67.4075012207,-134.8609924316
DAAB,36.5036010742,2.8141698837
DAAD,35.3325004578,4.206389904
DAAE,36.7120018005,5.069920063
DAAG,36.6910018921,3.2154099941
DAAJ,24.2928009033,9.4524402618
DAAK,36.545799,2.87611
DAAN,26.710100174,0.2856470048
DAAP,26.7234992981,8.6226501465
DAAQ,35.5253982544,2.8787100315
DAAT,22.8115005493,5.4510798454
DAAV,36.7951011658,5.8736100197
DAAY,33.535900116,-0.2423530072
DAAZ,35.7522010803,0.6262720227
DABB,36.8222007751,7.8091697693
DABC,36.2760009766,6.6203899384
DABS,35.4315986633,8.1207199097
DAFH,32.9304008484,3.3115398884
DAOB,35.3410987854,1.4631500244
DAOE,35.7354011536,-0.8053889871
DAOF,27.7003993988,-8.1670999527
DAOI,36.2126998901,1.3317699432
DAOL,35.5424003601,-0.5322780013
DAON,35.0167007446,-1.4500000477
DAOO,35.6239013672,-0.6211829782
DAOS,35.1717987061,-0.5932750106
DAOV,35.207698822,0.147141993
DAUA,27.837600708,-0.1864140034
DAUB,34.7933006287,5.7382302284
DAUE,30.5713005066,2.8595900536
DAUG,32.3841018677,3.7941100597
DAUH,31.6730003357,6.1404399872
DAUI,27.2509994507,2.5120201111
DAUK,33.0677986145,6.0886697769
DAUL,33.7644004822,2.9283399582
DAUT,29.2371006012,0.2760330141
DAUU,31.9172000885,5.412779808
DAUZ,28.0515003204,9.6429100037
DBBB,6.3572301865,2.3843500614
DFFD,12.3531999588,-1.5124200583
DFOO,11.1600999832,-4.3309698105
DGAA,5.6051898003,-0.1667860001
DGLE,9.5571899414,-0.863214016
DGLW,10.0826997757,-2.5076899529
DGSN,7.3618302345,-2.3287599087
DGTK,4.8960599899,-1.7747600079
DIAP,5.2613902092,-3.9262900352
DIBK,7.7388000488,-5.0736699104
DIDL,6.7928099632,-6.4731898308
DIKO,9.3871803284,-5.5566601753
DIMN,7.272069931,-7.5873599052
DISP,4.7467198372,-6.6608200073
DIYO,6.9031701088,-5.3655800819
